,_id,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
match_1005,5d886cb86dcc122b63b1b0bc,Pistol_Pete13,And here we are....fishing,"['Baseball', 'Football', 'Hockey']","I am easy going, enjoy the simple things, laugh at the funny, solve the problem at hand, and usually don''t sweat the small stuff individual. On my free time I like to workout, fish, take long drives, walk on the beach/boardwalk, enjoy an outdoor activities, or just be lazy and chill out at home. I like to make goals for myself each year, and try to learn from each experience I get. One day would like to visit Iceland and see the northern lights. Just seems relaxing, and looks awesome from the nature pictures I''ve seen.I like most music, but my go to is Rock (Nu Metal, Alt. Rock, Punk, Metal). For movies, anything that can make me laugh, history related, Marvel/DC are just a few.",Non-Smoker with Average body type," Wantagh, New York ","32 year old Male, 5' 10"" (178cm), Catholic",Caucasian,Pistol_Pete13 is looking for a relationship.,Masters Degree,Class Clown,Clerk,Woman,Long Term,Not Completed,View his chemistry results,Socially,Want children,Single,No,Brown,Brown,Yes,No,Over 2 years,Ambitious,No Pets,,32,M,Capricorn
match_1006,5d886cb86dcc122b63b1b0bd,finest81,looking,None,Boxing,Non-Smoker with Average body type," New rochelle, New York ","38 year old Male, 5' 8"" (173cm), Christian - other",Hispanic,finest81 is actively seeking a relationship.,Some college,Athletic,maintenance manager,Woman,Dating,Not Completed,Not Completed,Socially,Want children,Single,No,Black,Brown,Yes,No,Over 6 years,Ambitious,No Pets,Spanish,38,M,Gemini
match_1007,5d886cb86dcc122b63b1b0be,Hulk165,I saw Get Out??,None,Working and in school trying to better my tomorrows by improving today's. Hope that sounded good lmao but seriously,Non-Smoker with Athletic body type," Bronx, New York ","33 year old Male, 5' 7"" (170cm), Non-religious",Black,Hulk165 is looking for a relationship.,Some college,Homebody,Maintenance Technician,Woman,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,No,No,Over 2 years,Ambitious,No Pets,,33,M,Taurus
match_101,5d886cb76dcc122b63b1ad34,LightManSA,Native Texan,"['Adventure', 'Travel', 'Live music']","Positive ThinkerGiven the choice.. I will take Happy over unhappy, Laughter over misery, and always emphasize the positive side of life..Personality CountsMy friends consider me a kind, honest, sincere, good and gracious man. I have an easy, welcoming personality, gifted with intelligence, educated in marketable talents, and endowed with redeeming qualities, my wide range of interests lets me fit comfortably in, with any crowd or social gathering.Physically AwarePhysically, I have broad shoulders, I’m a big guy, muscular build, outdoorsy style.. I'm healthy, and plan to stay that way by eating right, and living well. I have a love for doing things outdoors, like: walking, archery, fishing, hiking, biking, camping (with luxury), the mountains, the beach, the boat, the lake, or at the coast. Yet, I also really appreciate traveling or a great night on the town...Mine, Yours, or Vegas! Great Food, Great Company, and Great Music sounds perfect to Me..!",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","59 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,LightManSA is looking for a relationship.,Some college,Sapiophile,Construction Executive,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Blue,Yes,All my kids are over 18,Over 9 years,Very Ambitious,Dog,,59,M,Pisces
match_102,5d886cb76dcc122b63b1ad35,glantrip,Want to enjoy life and have fun NO DRAMA PLEASE,"['Fun', 'Outdoors', 'Riding motorcycles']","Love to have fun , riding motorcycle , outdoors , Love to bar-b - q ,bonfires , entertaining, hunting, fishing, live music ( hey we are in Austin ) spending time with my best friend And enjoy life together! Someone that I can trust no lies let's have some FUN TOGETHER ",Non-Smoker with A Few Extra Pounds body type," Buda, Texas ","62 year old Male, 5' 11"" (180cm), Methodist",Caucasian,glantrip is looking for a relationship.,Associates Degree,Daredevil,sales manager,Woman,Dating,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Single,No,,Brown,Yes,No,Over 6 years,Very Ambitious,Dog,,62,M,Gemini
match_103,5d886cb76dcc122b63b1ad36,marcelino59,Trying to love and be loved,"['Very Affectionate', 'Open minded', 'Strong Friendahip']",My goal is to finally meet the one that is meant for me. Soon retire and would like to expmore the world with that person.,Non-Smoker with Average body type," San marcos, Texas ","60 year old Male, 5' 9"" (175cm), Catholic",Hispanic,marcelino59 wants to date but nothing serious.,Graduate Degree,Hopeless Romantic,Costodian,Woman,Friends,Not Completed,Not Completed,No,Prefer Not To Say,Single,No,Grey,Brown,Prefer Not To Say,No,Over 9 years,Ambitious,No Pets,Spanish,60,M,Aries
match_104,5d886cb76dcc122b63b1ad37,catlos555,Looking for my partner in this life She's out ther,None,"Hello there, my name is Carlos, looking for that beautiful , gorgeous woman. To get to know, spend time with hopefully the rest of my life and than some. Fine my partner in this life, we humans where not meant to be along.",Smokes Occasionally with Thin body type," Pfugerville, Texas ","59 year old Male, 6' 0"" (183cm), Catholic",Hispanic,catlos555 is looking for a relationship.,High school,Hopeless Romantic,Truck / delivery driver ,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,Yes,Over 5 years,Somewhat Ambitious,Cat,Spanish,59,M,Gemini
match_105,5d886cb76dcc122b63b1ad38,708090413121,Looking,None,"im lovely kind honest faithful and easy going man looking for the woman to spend the rest of my life with,my name is Melvin ,57yrs Originally from mexico ...My father was from Mexico and my mother was from Az though I was born and raised in Mexico .. I stand 5'10 .brown eyes,short hairs.I been living NJ ,but i am now in Texas ,",Smokes Often with Prefer Not To Say body type," Austin, Texas ","67 year old Male, 5' 5"" (165cm), Non-religious",Caucasian,708090413121 wants to find someone to marry.,Some college,Adventurer,work,Woman,Long Term,Viewhis relationship needs,Not Completed,No,Undecided/Open,Single,No,Grey,Brown,Prefer Not To Say,No,,Very Ambitious,No Pets,Spanish,67,M,Libra
match_106,5d886cb76dcc122b63b1ad39,rystwrtplvd,Life is a Journey Not a Race,None,"I enjoy good music, nice dining venues, great wine, single malt scotch, dark beer, dark chocolate, intelligent women, the beach, the water, Impressionist paintings, classic movies, etc.. I love to travel but not alone. I am what may be called Old School. There are some things that don't need Fixin' (If it ain't broke don't fix it.) Ladies first, Respect your Elders, Hats off at the Dinner Table, Give Thanks, etc......Let's go Catchin. FYI, Lots more fun than Fishin. Lessons available upon request........but only if you ask nicely. If you have never been, it can be tons of fun. Being on the open water watching the sunrise, feeling the coolness of the morning, seeing Whooping Cranes feeding in the marshland, etc.Just looking for someone to have fun with and share the pleasures of what Life has to offer. Someone who is adventurous. Someone who is honest and truthful. Someone who is not afraid to provide pictures of what they really look like today or at least a year or two ago. I dated most of my photos. How can you begin to cultivate a relationship with deception? If you don't have a Passport, you will probably need one. Who knows where this could go, no pun intended.I know this is a lot of information but this will help you know a little about me and who I really am. Oh....if you have a quick wit you will enjoy my company.",Non-Smoker with Average body type," Austin, Texas ","66 year old Male, 5' 11"" (180cm), Other",Caucasian,rystwrtplvd is actively seeking a relationship.,Bachelors Degree,Adventurer,Professional,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Bald,Hazel,Yes,Yes,Over 10 years,Ambitious,No Pets,,66,M,Libra
match_107,5d886cb76dcc122b63b1ad3a,ben61,Hey there!,"['Leather', 'Woodworking', 'Day trips']","I'm an early riser,0ptimistic, down to earth, pragmatic, and easy going. I believe in kindness and gratitude make for a happier life. I'm a good cook and can bbq. I may not be the best at barbecuing, but when the best get together they talk about me. I love music,opera and rap not so much. I enjoy movies, cable and TV series. I like an occasional beer but not a big drinker. Day trips on my motorcycle or car, live music at Saxon pub, leather carving and working with my hands in my free time. Life is better together and I have traditional values so I'm not interested in hookups or serial dating. I'm looking for a partner and friend for life. My longest relationship was 32 yrs so I like to go the distance. ",Non-Smoker with A Few Extra Pounds body type," Elgin, Texas ","62 year old Male, 6' 2"" (188cm), Non-religious",Caucasian,ben61 is looking for a relationship.,High school,Free Thinker,Retired,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Cat & Dog,,62,M,Cancer
match_108,5d886cb76dcc122b63b1ad3b,jusmejab,Looking for you,"['Riding Harley', 'The coast', 'Hill country']","Just an ordinary average guy wanting to date and see what happens.. Love the great outdoors and all the hill country has to offer. Enjoy spending time with friends and family. Enjoy flea markets, window shopping and seeking out those small hole in the wall diners with amazing food. I have A Harley and love to ride. I like most music, prefer rock, seether, three days grace, shinedown just to name a few, but will listen to all.. I'm pretty much an open book, if you want to know something just ask.....Not a paid member so don't have meet me option.",Non-Smoker with Average body type," Canyon lake, Texas ","58 year old Male, 5' 11"" (180cm), Other",Caucasian,jusmejab is looking for a relationship.,High school,Animal Lover,Technician,Woman,Long Term,Not Completed,Not Completed,Socially, Does not want children,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Dog,,58,M,Cancer
match_109,5d886cb76dcc122b63b1ad3c,wjreed11,Not a member but feel free to text,"['Music', 'Movies', 'Sports']","Text me if you're interested and I will answer any questions you may have.NOT ABLE TO SEE MEET ME POSTWork long hrs,but if you're the one I should give the rose to..I'll make myself available to you..possible soul mate here??",Non-Smoker with Athletic body type," Austin, Texas ","58 year old Male, 5' 7"" (170cm), Baptist",Black,wjreed11 is looking for a relationship.,High school,Adventurer,Management ,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Bald,Brown,Yes,Yes,Over 10 years,Ambitious,No Pets,,58,M,Leo
match_11,5d886cb76dcc122b63b1acda,livinonkauai,New to Austin,"['Building stuff', 'Fixing stuff', 'Working out']","I just moved to Austin from Kauai, and continue to maintain a home there.I'm looking for a christian lady (not religious) with whom to build a long term relationship and live happily ever after.I have been blessed with two incredible stepsons (San Diego and L.A) and a stepdaughter (Seattle) who is married with a three year old son and two year old daughter (my grand-kids). Some of my fondest memories are while on a sailboat, such as trips to Desolation Sound north of Vancouver, B.C. Scuba diving for Dungeness Crab, catching shrimp in a trap, harvesting scallops and oysters. I have scuba dived the Great Barrier Reef on two trips, Cozumel, Costa Rica, Hawaii, and maybe 50 dives off Vancouver.My career is focused on the luxury resort industry in a finance capacity, and when I was in Vancouver I worked for the company that owned Whistler/Blackcomb, skiing 40 days a season for ten years. I've always been into fitness, and when I was younger, was a bit of a fanatic. I don't have the desire to spend quite so many hours in the gym anymore, and the aerobic part is far more important since the diet is far less forgiving than it used to be. Good food, good wine and good friends are a favorite combination, whether its at home or a restaurant. I love to cook, and it would be great to find someone who appreciates good food, but also takes care of themselves.If you're one of those girls looking for a guy who can fix stuff, I'm your guy. I can build a house and fix pretty much anything.Finally, if you're a hardcore Trump supporter, we are not a good match. I call myself a Liberal-Conservative. I cannot fathom a wealthy society not providing for the less fortunate, be it healthcare or otherwise. But if you can work, you work.Thank you for reading my profile.Kevin",Non-Smoker with Athletic body type," Austin, Texas ","58 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,livinonkauai is looking for a relationship.,Masters Degree,Intellectual,Finance Exec,Woman,Long Term,Not Completed,View his chemistry results,Socially,Undecided/Open,Widowed,No,Blond(e),Blue,Yes,All my kids are over 18,Over 7 years,Very Ambitious,No Pets,,58,M,Aries
match_110,5d886cb76dcc122b63b1ad3d,RRhelitech,Are you ready for all that you can see,None,"I like all types of outdoors adventures, biking, hiking, camping. I would like to travel to somewhere I haven’t been to yet. I like to take pictures of my adventures. I like all types of music as long as it’s good. love to hear live music when I can. I bought a Jeep, so I’m ready for adventure",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","56 year old Male, 5' 10"" (178cm), Christian - other",Caucasian,RRhelitech is actively seeking a relationship.,Associates Degree,Adventurer,Helicopter technician ,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Brown,Yes, Yes,Over 10 years,Somewhat Ambitious,No Pets,,56,M,Scorpio
match_111,5d886cb76dcc122b63b1ad3e,compatable41,Aussieguy,"['Outdoors', 'Boating', 'Travelling']","Looking to slow down and enjoy life more as I have been wrapped up in my business for too long.I enjoy the outdoors boating,travelling and exploring new places either locally or out of town.Enjoy the tranquility of the great outdoors either in the mountains or the oceans.This I dont enjoy so much on my own and would like to share these moments with a fun partner,I would even be patient enough to stop at the odd antique shop or whatever on our travels.I love animals and most people.I would obviously like you to have similar interests and many of your own I can share.Im young at heart physicaly active and sure not a couch potato.Enjoy walking/hiking especially in scenic places,eat healthy,organic if possible,lead a healthy lifestyle which of course includes the odd glass of wine.I hail from Australia and they tell me I still talk ""funny"" even after 24 years in Tx but so do yall.LOL Look forward to meeting you",Non-Smoker with Average body type," Georgetown, Texas ","70 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,compatable41 is actively seeking a relationship.,Some college,Adventurer,business owner,Woman,Dating,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Brown,Blue,Yes,Yes,Over 10 years,,Other,,70,M,Capricorn
match_112,5d886cb76dcc122b63b1ad3f,AmantePerfecto,Seeking Woman of my Dreams,"['Cars', 'Animals', 'Grilling']","I love to dance, and I like a good movie. I'm an out-going person, confident, and I know what I want. I love to cook, I like to grill outdoors and I love my family. I don't have a dog now but I love animals and would like to get one again in my future.I like working on cars and I'd have to say my favorite model of car is the Mercedez-Benz.",Smokes Occasionally with Average body type," San antonio, Texas ","64 year old Male, 6' 0"" (183cm), Christian - other",Hispanic,AmantePerfecto wants to find someone to marry.,High school,Adventurer,Retired ,Woman,Long Term,Not Completed,View his chemistry results,Socially,Undecided/Open,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Not Ambitious,No Pets,Spanish,64,M,Virgo
match_113,5d886cb76dcc122b63b1ad40,artimas60,Looking for a family oriented person,None,"I have two children that are grown and living on there own. Ashley is married and living in North Carolina . Ryan lives in Taylor. I live in South Austin. I am looking for someone who is a none smoker and enjoys being with family and friends. I am looking for a friend to enjoy good company and good conversation. Will see where it takes us. You must enjoy working out with me and walks . Looking for someone who is laid back and easy to get along with. I enjoy the out doors, going to good restaurants. Going to watch movies out or in. Not into drama of any sort.",Non-Smoker with Athletic body type," Austin, Texas ","59 year old Male, 5' 7"" (170cm), Catholic",Hispanic,artimas60 is looking for a relationship.,High school,Blue Collar,Retail ,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Brown,Yes,Yes,Over 6 years,Somewhat Ambitious,No Pets,Spanish,59,M,Cancer
match_114,5d886cb76dcc122b63b1ad41,uhland,Having fun,"['Music', 'Sports', '']",I love to play tennis. I have appreciation for most musical styles. I try not to loose sight in the present because the day will pass you if you are not careful. There is nothing better than a good drink and great conversation.,Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","55 year old Male, 6' 1"" (185cm), Non-religious",Caucasian,uhland is looking for a relationship.,Bachelors Degree,Athletic,Counselor ,Woman,Hang Out,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Hazel,Yes,Yes,Over 10 years,Somewhat Ambitious,No Pets,,55,M,Gemini
match_115,5d886cb76dcc122b63b1ad42,RokHrd69,Ready to pull the Plug. Futile.,None,ask me. My profile name has to do with music preference! Sheesh!! ,Smokes Occasionally with Average body type," Austin area, Texas ","55 year old Male, 5' 9"" (175cm), Christian - other",Caucasian,RokHrd69 is looking for a relationship.,Associates Degree,Music Snob,Systems Admin,Woman,Long Term,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,No,Over 7 years,Ambitious,Dog,,55,M,Scorpio
match_116,5d886cb76dcc122b63b1ad43,OURTIME2LIVE57,Looking for my best .........,"['Firepits', 'Fireplaces', 'Laughter']","Ok now for my question. Can someone please explain the dating scene to me. Ok Straight upI have Family values, tied in with old fashion standards and Respect.( open doors, pull out chairs...etc)Not here to sell myself to ya. And I'm not available to rent either.I believe the lack of dinner around the table or even together as a couple out somewhere is why divorce, teen suicide, bullying, etc have all gone way up. You must be your own person also have your own politics, opinions, believes, am looking for a companion not a puppet.I am not looking for someone to sit around and grow old with. Let's enjoy the world, smile laugh have fun and yes deal with serious stuff together.I dont care where you live I will drive there as often as I can. Or we meet in romantic locations constantly. So that problem isn't a problem...I want to dance with you, walk with you, talk with you, travel with you, cuddle with you, learn all about who you are inside as well. If you try to be nice to a single woman they think your going for a one night stand or they have been hurt so bad they don’t even want to say hi. And age and distance and money seem to be factors also. (notice there still single how’s that working for ya). I am a good man just looking for my best friend, companion, and a romance that will last forever. I get you can’t trust but you have to believe. ",Non-Smoker with Average body type," Hill country, Texas ","58 year old Male, 6' 4"" (193cm), Christian - other",Caucasian,OURTIME2LIVE57 is actively seeking a relationship.,Some college,Adventurer,You Wouldn Believe Ask,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Grey,Hazel,Yes,All my kids are over 18,Over 10 years,Ambitious,Dog,,58,M,Virgo
match_117,5d886cb76dcc122b63b1ad44,georgetownsc,working on my puzzle dont have meet me,"['God first', 'Health', 'EXERCISE']","LOOKING for a Lady that we have a mutual Physical attraction, Chemistry, Emotional Bonding, Intellectual connection and Respect . im healthy financial secure no children very little baggage.. I prefer sensual over sexey. Open honest conversation. No visabable tattoos I enjoy exploring the 5 senses 1 sight. 2. Sound 3. Scenet 4. Touch and last 5. Taste.I dont like a lot of messaging prefer text or phone conversation before first meeting . If any of my profile interest you would welcom a message. What ever you decide I wish you the best in your search. MUST LIVE WITHIN 50 MILES Of Austin / GEORGETOWN TX. NOT A PAID MEMBER. DO NOT HAVE MEET ME FEATURE Looking forward to hearing from you.gorgeous young lady in my picture is my niece.",Non-Smoker with Average body type," Georgetown, Texas ","75 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,georgetownsc is looking for a relationship.,Bachelors Degree,Adventurer,retired ,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Grey,Blue,Yes,No,Over 8 years,Somewhat Ambitious,No Pets,,75,M,Leo
match_118,5d886cb76dcc122b63b1ad45,republic76,I don't do meet me messaging period,"['Travelling', 'Working out', 'The gym']","Like music, working out, and traveling. I do not have ""meet me"", so contact me directly, please.",Non-Smoker with Athletic body type," Austin, Texas ","59 year old Male, 6' 0"" (183cm), Christian - other",Caucasian,republic76 is looking for a relationship.,Bachelors Degree,Adventurer,Accounting,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,No,Over 10 years,Ambitious,No Pets,,59,M,Pisces
match_119,5d886cb76dcc122b63b1ad46,JesseInBulverde,Looking for a friend or companion,"['Gardening', 'Family', 'Grandchildren']","I’m ready to look for a new friend. I like to work in the gardens, dance, feed the animals, travel, and light fishing every once in awhile, trips to the coast, cruises, travel. My wife passed away 2 years ago, and I’m ready to start my new life. Im self sufficient and like taking care of my home. I miss the companionship of a partner and someone to do things with someone to call on the phone and travel with love to do cruises go down to the coast and explore a little little bit of fishing I don’t like to play games and there’s no drama in me Ask me and I’ll tell you and hopefully the same with you life’s too short to be alone I’m no Burt Reynolds or rock Hudson but I’m a good honest man looking for a good honest woman to share my life and hers And hopefully we can be happy together and have a good future All I’m asking for is the chance can’t find out if we’re compatible unless we meet and get to know each other Jesse",Non-Smoker with A Few Extra Pounds body type," Bulverde, Texas ","73 year old Male, 5' 6"" (168cm), Non-religious",Other Ethnicity,JesseInBulverde is actively seeking a relationship.,High school,Animal Lover,Retired business owner,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Widowed,No,Grey,Hazel,Yes,All my kids are over 18,Over 10 years,Ambitious,Dog,Spanish,73,M,Sagittarius
match_12,5d886cb76dcc122b63b1acdb,2allen54,"Active,happy,fun,enjoying life& love",None,"I enjoy many types of music from classical,blues,jazz,country and most of live venues. Anything ouside. Swimming,golfing,fishing camping,hiking,etc.Love eating in or out. I love projects and can repair or have knowledge of the workings of a home and cars. I love spontaneous changes in plans and just driving off in an unknown direction until we arrive where we want to be. True love is something worked at and I believe both partners must do due diligence. I am romantic and enjoy dancing Out or in the kitchen. If you don't like touch and intimacy then I not the one for you. I have a personal relationship with Jesus and actively persue a close walk with him. I love gardening and creating an incredible outdoor retreat at a home.",Non-Smoker with Average body type," Austin, Texas ","65 year old Male, 5' 7"" (170cm), Christian - other",Caucasian,2allen54 is actively seeking a relationship.,Some college,Hopeless Romantic,Sales,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Blond(e),Blue,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,Spanish,65,M,Virgo
match_120,5d886cb76dcc122b63b1ad47,cliff7211,Well mannered professional seeking same ----------,"['Great local restaurants', 'Live music venues', 'Movies']","I'm a hard working & successful Austin attorney who has a regular hot yoga practice to stay in shape & who spends some part of most weekends at his Hill Country ranch working on any number of ranch projects. My kids are both successful & on their own & it would be great to find someone who is honest, interesting, educated & active for a possible long term relationship. If you think that there is a mutual interest in meeting, please send a short message to introduce yourself (note that I do not have access to the ""Meet Me"" function on this website). Thanks.",Non-Smoker with Athletic body type," Austin, Texas ","65 year old Male, 6' 2"" (188cm), Christian - other",Caucasian,cliff7211 is actively seeking a relationship.,PhD / Post Doctoral,Professional,Attorney,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 10 years,Very Ambitious,No Pets,,65,M,Scorpio
